arivaID,country,exchangeID,file_urls,files,foundingyear,industry,isin,listingdate,sector,security_name,stocktype,ticker
955561,,1,http://www.ariva.de/quote/historic/historic.csv?secu=955561&boerse_id=1&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=955561&boerse_id=1&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_DE000A0EPUF5.csv', 'checksum': '9c977cfc68900cf3866b33977d9e775d'}]",,,DE000A0EPUF5,,,mwg-biotech_ag-aktie,,
255,Luxemburg,6,http://www.ariva.de/quote/historic/historic.csv?secu=255&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=255&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_LU1618151879.csv', 'checksum': '9a5012437f34c8031f1b5dce4e04dc6e'}]",1985,Dienstleistungen,LU1618151879,20.03.2000,Diverse,logwin-aktie,Auslandsaktie,TGHN
124,Deutschland,2,http://www.ariva.de/quote/historic/historic.csv?secu=124&boerse_id=2&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=124&boerse_id=2&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_DE0006224520.csv', 'checksum': '7d68ef84372904f7a2370ec9ff01ff94'}]",1977,Internetservice,DE0006224520,01.03.1999,Informationstechnologie,ifao-aktie,Inlandsaktie,FAO2
100176108,,17,http://www.ariva.de/quote/historic/historic.csv?secu=100176108&boerse_id=17&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=100176108&boerse_id=17&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_NL0000687705.csv', 'checksum': 'e1a54fb3ce97256416fa05f5f3d9a3b9'}]",,,NL0000687705,,,mcc_global-aktie,,
137,,1,http://www.ariva.de/quote/historic/historic.csv?secu=137&boerse_id=1&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=137&boerse_id=1&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_DE0006112006.csv', 'checksum': '522b7c302514b867907dfcfe8ed22254'}]",,,DE0006112006,,,ision_internet-aktie,,
223,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=223&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=223&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_DE0007276503.csv', 'checksum': '0aab0e6441345a9f9c7cb05465febd27'}]",1995,IT-Software (Telekommunikation und Internet),DE0007276503,09.11.1999,Software,secunet_security_networks-aktie,Inlandsaktie,YSN
277333,Deutschland,131,http://www.ariva.de/quote/historic/historic.csv?secu=277333&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=277333&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_DE000A0BVVK7.csv', 'checksum': '1b3fbe226fb8f7d25f12cf8b7bb94df2'}]",,Entertainment/Dienstleistungen,DE000A0BVVK7,-,Medien/Entertainment/Freizeit,deutsche_cannabis-aktie,Inlandsaktie,FAM1
2009,,16,http://www.ariva.de/quote/historic/historic.csv?secu=2009&boerse_id=16&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=2009&boerse_id=16&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_DE0005016901.csv', 'checksum': '920cf03e9e19c9352fbcf3e46b16bb65'}]",,,DE0005016901,,,dis_deut-ind-serv-o-n-aktie,,
103,Deutschland,1,http://www.ariva.de/quote/historic/historic.csv?secu=103&boerse_id=1&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=103&boerse_id=1&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_DE0005775803.csv', 'checksum': '2bc77e25726434e42e02f0b9db398420'}]",1996,Finanzdienstleistungen,DE0005775803,19.07.1999,Finanzsektor,foris-aktie,Inlandsaktie,FRS
82,,17,http://www.ariva.de/quote/historic/historic.csv?secu=82&boerse_id=17&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=82&boerse_id=17&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-08-14&trenner=%3B&go=Download', 'path': 'isin_DE0005072300.csv', 'checksum': 'fccf43a6428e0a7dbc0b02687f4ae5f1'}]",,,DE0005072300,,,dab_bank-aktie,,
