Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2016-04-15;923,69;923,97;919,75;922,05;3.893.456.384
2016-04-14;923,35;926,56;920,32;926,26;3.605.226.240
2016-04-13;914,19;921,42;913,47;921,42;4.564.291.584
2016-04-12;895,62;899,42;886,98;899,00;3.037.279.232
2016-04-11;886,12;898,78;880,39;893,03;3.228.641.792
2016-04-08;881,29;892,33;881,29;888,39;3.403.673.600
2016-04-07;889,47;893,82;876,13;879,50;3.697.258.496
2016-04-06;882,95;887,81;877,05;887,45;3.886.935.040
2016-04-05;889,10;889,15;880,32;881,55;4.381.416.448
2016-04-04;900,78;910,80;896,52;903,44;3.214.525.440
2016-04-01;901,53;904,95;891,15;901,34;4.714.757.120
2016-03-31;917,65;919,04;913,15;914,72;3.920.521.984
2016-03-30;911,54;925,71;911,46;921,56;3.883.980.032
2016-03-29;907,22;911,24;899,72;906,92;2.932.030.208
2016-03-24;914,59;914,59;902,79;903,34;3.451.010.048
2016-03-23;919,74;925,00;913,04;918,03;3.852.904.960
2016-03-22;902,73;914,80;895,12;914,80;3.683.597.824
2016-03-21;904,67;922,97;904,46;910,90;3.757.854.720
2016-03-18;907,09;911,80;901,24;911,06;8.413.708.800
2016-03-17;919,15;919,96;894,23;906,35;4.893.727.744
2016-03-16;911,61;916,55;908,71;913,68;4.195.675.648
2016-03-15;910,45;911,76;905,16;908,66;3.428.215.808
2016-03-14;909,06;917,94;908,94;914,06;3.824.190.976
2016-03-11;877,80;900,46;877,80;900,15;4.649.968.128
2016-03-10;888,68;912,02;870,30;870,31;7.101.312.000
2016-03-09;886,96;898,93;885,75;889,55;4.223.050.496
2016-03-08;888,54;894,99;881,41;886,86;4.195.000.064
2016-03-07;896,28;898,76;889,15;896,12;3.252.654.592
2016-03-04;897,32;906,77;893,93;900,49;4.279.552.768
2016-03-03;898,01;898,01;890,76;894,17;3.926.709.504
2016-03-02;897,56;902,94;889,58;896,15;4.572.517.888
2016-03-01;871,29;892,26;871,07;892,26;4.323.584.000
2016-02-29;865,23;872,57;857,42;872,56;4.287.790.336
2016-02-26;864,54;877,82;864,54;872,00;4.451.202.048
2016-02-25;849,39;861,35;845,82;857,12;4.429.032.960
2016-02-24;863,85;864,90;838,80;842,06;4.814.810.112
2016-02-23;873,26;875,83;864,66;865,28;3.702.208.512
2016-02-22;869,75;879,16;869,75;878,77;3.554.777.088
2016-02-19;870,63;870,63;856,69;862,61;4.467.581.952
2016-02-18;864,70;876,62;859,33;869,26;4.494.358.528
2016-02-17;841,10;862,48;840,97;861,11;4.456.711.168
2016-02-16;848,21;849,78;834,47;838,84;3.932.569.344
2016-02-15;824,22;848,59;824,06;845,15;4.373.162.496
2016-02-12;811,19;822,15;809,72;822,15;4.997.755.904
2016-02-11;815,22;815,22;799,45;803,90;5.686.059.520
2016-02-10;818,98;836,41;814,17;827,14;5.016.163.840
2016-02-09;822,74;827,30;803,67;813,77;6.250.580.992
2016-02-08;856,42;856,76;819,43;822,67;6.067.796.992
2016-02-05;860,36;869,29;850,16;852,96;5.274.371.072
2016-02-04;873,64;874,84;851,82;862,47;5.670.054.912
2016-02-03;875,82;878,08;858,96;865,67;5.228.626.432
2016-02-02;891,41;892,46;875,08;878,61;4.401.840.128
2016-02-01;899,12;899,12;884,82;894,23;3.861.190.144
2016-01-29;890,76;897,14;885,12;897,13;5.024.594.944
2016-01-28;898,50;904,66;878,75;882,07;4.728.936.960
2016-01-27;898,19;902,99;890,62;902,99;4.016.138.240
2016-01-26;884,52;902,01;876,29;898,52;4.650.118.144
2016-01-25;895,68;896,39;886,96;891,41;3.925.466.880
2016-01-22;873,88;898,56;873,86;892,49;5.358.778.368
2016-01-21;859,89;879,20;854,56;873,16;5.964.770.816
2016-01-20;882,73;882,73;851,54;857,34;5.854.623.744
2016-01-19;870,01;889,55;869,98;883,26;4.322.880.000
2016-01-18;872,57;882,21;864,27;869,00;4.257.295.104
2016-01-15;894,23;898,41;865,31;872,58;6.996.767.232
2016-01-14;905,25;905,25;880,56;895,57;6.400.409.600
2016-01-13;918,34;928,87;908,59;911,16;4.322.417.152
2016-01-12;897,91;922,44;897,45;913,42;4.619.074.048
2016-01-11;898,18;911,60;898,04;898,48;4.481.040.896
2016-01-08;914,26;923,16;901,02;901,02;4.827.374.592
2016-01-07;933,32;933,34;897,42;911,95;6.215.919.104
2016-01-06;938,98;940,56;923,60;933,47;4.342.083.584
2016-01-05;943,23;949,97;931,83;942,90;4.312.352.768
2016-01-04;978,90;978,90;938,43;941,38;5.841.666.560
2015-12-30;988,50;988,57;979,19;979,19;1.763.654.144
2015-12-29;977,53;989,11;977,43;989,09;2.510.657.792
2015-12-28;979,12;979,67;969,00;971,05;1.592.309.760
2015-12-23;965,12;978,51;965,12;977,29;3.132.395.776
2015-12-22;962,99;967,63;949,43;957,11;3.086.162.944
2015-12-21;968,54;981,95;957,50;957,50;3.829.600.768
2015-12-18;972,45;977,15;962,24;967,59;8.393.170.432
2015-12-17;957,06;985,76;957,03;978,30;5.655.641.088
2015-12-16;955,81;964,80;951,84;956,22;3.988.106.752
2015-12-15;933,03;955,61;932,30;953,30;4.944.448.512
2015-12-14;948,46;952,01;925,06;926,26;4.831.124.992
2015-12-11;964,19;965,05;939,98;943,32;5.082.633.728
2015-12-10;963,32;970,97;958,63;966,04;3.990.998.016
2015-12-09;977,26;977,60;963,52;966,67;4.695.648.256
2015-12-08;990,84;992,70;968,36;973,15;4.432.549.888
2015-12-07;985,76;1.000,92;985,10;992,21;3.860.564.480
2015-12-04;980,52;984,40;969,82;979,56;5.359.507.968
2015-12-03;1.014,08;1.025,59;982,00;982,00;7.970.414.592
2015-12-02;1.023,38;1.026,07;1.014,38;1.014,95;4.276.279.296
2015-12-01;1.033,7;1.033,7;1.018,33;1.019,89;5.766.820.864
2015-11-30;1.020,61;1.032,26;1.018,35;1.029,47;5.259.580.928
2015-11-27;1.019,37;1.025,38;1.017,13;1.021,3;3.274.925.824
2015-11-26;1.009,7;1.026,88;1.009,51;1.023,31;4.171.342
2015-11-25;991,91;1.011,65;989,85;1.010,37;4.403.469.312
2015-11-24;1.001,28;1.002,08;984,68;990,26;4.483.436.032
2015-11-23;1.005,44;1.006,82;1.001,53;1.004,23;3.185.681.920
2015-11-20;1.006,82;1.009,88;1.001;1.006,59;3.952.509.440
2015-11-19;1.000,78;1.009,31;1.000,44;1.003,75;3.982.869.504
2015-11-18;989,43;994,77;986,32;993,13;3.397.761.024
2015-11-17;978,83;993,94;978,37;993,93;4.023.275.008
2015-11-16;961,47;975,13;961,17;971,62;3.433.534.464
2015-11-13;975,23;978,04;961,92;969,57;4.593.367.552
2015-11-12;987,15;991,70;972,40;976,20;4.542.362.624
2015-11-11;983,06;994,71;983,06;987,40;4.307.084.800
2015-11-10;983,64;984,19;973,27;981,88;3.899.411.456
2015-11-09;996,92;997,25;980,27;980,76;3.841.906.688
2015-11-06;986,86;1.001,02;984,27;995,81;4.856.237.056
2015-11-05;985,52;993,21;979,25;987,45;5.037.414.400
2015-11-04;995,20;996,50;983,45;984,42;5.243.213.312
2015-11-03;995,24;995,96;988,64;993,82;4.054.543.872
2015-11-02;978,33;996,67;978,33;994,58;4.118.592.000
2015-10-30;984,64;986,61;977,90;985,88;4.230.468.096
2015-10-29;987,02;988,22;977,42;982,44;4.800.951.808
2015-10-28;973,02;984,31;970,85;983,26;3.766.956.544
2015-10-27;981,00;981,00;970,51;970,51;3.902.072.320
2015-10-26;979,85;985,47;977,02;980,79;3.646.809.344
2015-10-23;962,58;983,82;962,35;979,96;6.262.618.112
2015-10-22;930,46;954,95;929,66;953,87;5.250.800.128
2015-10-21;926,72;935,69;921,43;932,51;3.587.519.488
2015-10-20;925,69;927,89;918,76;923,90;3.100.982.272
2015-10-19;918,72;928,30;918,72;925,37;3.217.377.792
2015-10-16;922,23;925,30;916,39;919,83;4.749.016.576
2015-10-15;911,18;919,17;909,13;917,62;4.276.220.928
2015-10-14;910,00;914,98;903,31;905,27;4.335.196.160
2015-10-13;921,45;923,57;907,81;915,32;4.665.403.392
2015-10-12;924,30;931,03;920,31;924,90;4.174.156.544
2015-10-09;923,74;927,81;920,79;923,68;4.917.497.344
2015-10-08;911,64;918,15;908,71;915,69;4.485.271.040
2015-10-07;911,04;922,88;911,04;913,05;5.444.714.496
2015-10-06;899,59;912,80;893,55;908,35;4.422.849.024
2015-10-05;885,98;903,88;885,98;900,60;5.020.826.112
2015-10-02;879,90;886,70;864,18;877,18;4.989.048.832
2015-10-01;892,90;897,40;870,62;873,47;4.955.573.248
2015-09-30;870,77;890,81;870,77;885,74;4.978.018.304
2015-09-29;862,41;873,90;856,28;866,94;5.071.711.232
2015-09-28;883,85;886,63;870,06;870,11;4.748.609.536
2015-09-25;880,75;892,75;880,75;888,13;5.619.437.056
2015-09-24;882,10;889,42;860,03;865,25;7.633.446.912
2015-09-23;878,60;888,85;870,87;881,49;6.224.730.112
2015-09-22;912,25;912,25;876,81;877,39;8.428.427.776
2015-09-21;910,11;915,22;896,18;911,00;6.890.670.080
2015-09-18;930,59;930,59;904,68;909,48;9.694.877.696
2015-09-17;937,10;938,26;933,03;934,38;4.270.054.144
2015-09-16;937,00;942,16;929,74;934,16;4.366.183.936
2015-09-15;926,89;934,30;919,51;929,78;4.227.465.472
2015-09-14;925,19;933,69;921,52;924,92;3.281.787.648
2015-09-11;935,11;935,11;921,89;925,05;3.209.444.096
2015-09-10;934,85;942,22;928,70;933,11;3.931.844.864
2015-09-09;954,29;956,79;940,25;940,28;4.554.041.344
2015-09-08;927,43;944,50;927,43;936,21;3.979.804.672
2015-09-07;924,17;928,32;917,03;922,00;2.289.371.904
2015-09-04;931,91;931,91;913,34;916,37;4.991.470.080
2015-09-03;925,56;945,59;925,56;940,64;4.985.030.656
2015-09-02;917,03;922,59;909,75;917,12;3.717.369.600
2015-09-01;922,25;922,25;906,56;913,66;4.739.416.576
2015-08-31;930,61;935,54;924,44;935,45;3.331.147.776
2015-08-28;940,30;941,02;928,89;937,73;3.677.597.952
2015-08-27;935,74;944,15;933,18;939,00;5.358.601.216
2015-08-26;913,20;925,02;898,86;911,02;6.074.208.768
2015-08-25;885,28;926,66;885,28;922,16;9.068.008.448
2015-08-24;920,70;920,72;853,96;879,76;12.634.878.976
2015-08-21;942,94;948,06;921,21;921,21;7.627.498.496
2015-08-20;965,54;967,56;946,47;948,47;5.701.798.912
2015-08-19;984,39;985,83;971,72;971,72;4.266.158.080
2015-08-18;991,73;996,78;989,37;991,94;3.107.617.280
2015-08-17;1.001,61;1.007,78;984,64;993,47;3.662.835.968
2015-08-14;997,75;1.005,79;991,36;997,13;3.450.030.592
2015-08-13;993,83;1.009,52;993,24;998,21;4.512.895.488
2015-08-12;1.013,47;1.013,47;985,48;987,92;6.544.282.112
2015-08-11;1.043,26;1.043,26;1.019,31;1.020,3;4.934.032.384
2015-08-10;1.041,17;1.047,23;1.031,81;1.046,5;3.230.598.144
2015-08-07;1.043,67;1.044,62;1.036,38;1.036,78;3.546.827.264
2015-08-06;1.048,4;1.053,06;1.045,65;1.046,31;3.714.723.072
2015-08-05;1.039,97;1.051,95;1.039,58;1.050,32;4.432.383.488
2015-08-04;1.032,28;1.037,02;1.028,85;1.035,98;3.858.638.336
2015-08-03;1.019,9;1.035,01;1.016,59;1.033,85;4.304.882.688
2015-07-31;1.016,69;1.020,95;1.010,12;1.020,93;4.934.434.304
2015-07-30;1.016,99;1.021,39;1.006,13;1.015,87;4.702.080.512
2015-07-29;1.012,54;1.016,53;1.005,97;1.012,98;4.591.027.712
2015-07-28;1.003,22;1.014,22;999,70;1.009,15;4.390.873.088
2015-07-27;1.019,21;1.019,69;997,79;997,90;4.906.618.368
2015-07-24;1.036,36;1.040;1.022,79;1.023,94;4.196.267.776
2015-07-23;1.042,52;1.045,59;1.032,64;1.037,04;3.891.569.152
2015-07-22;1.039,25;1.043,66;1.035,26;1.037,84;3.635.815.680
2015-07-21;1.058,15;1.059,41;1.042,99;1.044,87;3.822.532.352
2015-07-20;1.050,61;1.061,34;1.050,53;1.056,06;3.703.555.072
2015-07-17;1.055,7;1.056,09;1.048,42;1.050,38;3.973.527.040
2015-07-16;1.043,59;1.058,43;1.043,21;1.052,92;5.157.619.200
2015-07-15;1.034,7;1.038,9;1.031,98;1.037,17;4.014.010.880
2015-07-14;1.031,15;1.035,06;1.026,65;1.035,06;4.107.112.192
2015-07-13;1.020,34;1.034,26;1.020,34;1.032,8;5.441.697.280
2015-07-10;990,62;1.019,5;990,62;1.017,64;5.526.491.648
2015-07-09;972,26;993,13;971,95;990,36;4.586.664.448
2015-07-08;967,23;973,77;961,72;968,65;5.536.966.144
2015-07-07;983,31;986,85;963,55;964,26;5.547.202.048
2015-07-06;994,22;994,22;979,92;981,94;4.801.510.912
2015-07-03;998,30;1.000,64;991,40;995,73;3.233.507.840
2015-07-02;1.006,25;1.009,86;997,08;998,85;3.798.534.144
2015-07-01;989,54;1.014,67;988,66;1.006,06;6.420.956.160
2015-06-30;994,93;1.000,57;981,50;985,54;7.074.972.160
2015-06-29;1.025,12;1.025,12;993,44;997,11;6.822.907.392
2015-06-26;1.023,48;1.037,27;1.022,31;1.031,65;4.619.328.512
2015-06-25;1.024,23;1.038,95;1.021,14;1.029,73;3.946.637.312
2015-06-24;1.036,5;1.039;1.022,38;1.029,33;4.994.060.800
2015-06-23;1.031,12;1.042,1;1.030,72;1.035,41;4.991.825.920
2015-06-22;999,62;1.027,52;999,62;1.026,87;6.422.536.192
2015-06-19;998,64;1.008,35;989,53;991,99;8.919.889.920
2015-06-18;984,08;996,71;971,11;996,29;5.213.681.664
2015-06-17;994,27;998,85;984,42;986,73;4.106.269.952
2015-06-16;983,61;994,94;971,81;993,06;4.717.274.112
2015-06-15;1.005,62;1.005,77;985,25;987,57;4.281.755.904
2015-06-12;1.014,9;1.020,25;996,24;1.006,61;4.541.961.216
2015-06-11;1.010,79;1.028,82;1.010,73;1.018,99;4.990.825.984
2015-06-10;987,15;1.015,16;984,96;1.012,75;5.645.861.376
2015-06-09;992,93;995,83;978,39;990,16;5.209.650.688
2015-06-08;1.004,22;1.009;995,65;995,65;4.613.696.512
2015-06-05;1.013,42;1.015,44;1.004,18;1.007,38;4.596.770.816
2015-06-04;1.023,59;1.029,2;1.007,82;1.020,36;4.828.096.000
2015-06-03;1.023,05;1.036,35;1.018,52;1.027,5;4.763.302.912
2015-06-02;1.030,3;1.031,75;1.016,41;1.020,74;4.674.948.096
2015-06-01;1.030,7;1.036,08;1.022,19;1.029,84;4.212.504.320
2015-05-29;1.049,72;1.050,83;1.026,24;1.027,09;6.160.459.264
2015-05-28;1.052,23;1.057,21;1.043,87;1.049,11;4.379.284.480
2015-05-27;1.047,24;1.058,43;1.042,7;1.057,01;5.094.395.392
2015-05-26;1.062,58;1.067,73;1.041,53;1.044,64;4.993.831.936
2015-05-22;1.064,71;1.065,79;1.058,92;1.060,5;3.429.512.448
2015-05-21;1.061,22;1.064,89;1.056,46;1.064,68;3.695.565.312
2015-05-20;1.065,16;1.065,46;1.058,2;1.063,75;3.959.543.296
2015-05-19;1.049,52;1.066;1.048,95;1.064,6;5.722.798.080
2015-05-18;1.031,65;1.041,6;1.023,98;1.041,6;4.329.738.240
2015-05-15;1.041,05;1.044,2;1.024,85;1.029,53;5.411.199.488
2015-05-14;1.016,67;1.039,42;1.009,9;1.037,85;3.850.561.536
2015-05-13;1.033,52;1.039,81;1.016,72;1.020,19;5.365.505.536
2015-05-12;1.042,57;1.042,57;1.021,23;1.029,07;5.616.642.560
2015-05-11;1.047,78;1.048,23;1.042,44;1.046,37;4.039.926.272
2015-05-08;1.024;1.048,49;1.023,93;1.048,48;6.245.979.648
2015-05-07;1.011,7;1.024,06;1.000,78;1.021,82;6.727.735.808
2015-05-06;1.017,11;1.026,68;1.008,7;1.016,76;6.292.044.800
2015-05-05;1.037,01;1.052,49;1.016,75;1.016,77;6.514.171.904
2015-05-04;1.029,03;1.043,88;1.025,53;1.041,5;4.526.875.648
2015-04-30;1.024,29;1.037,01;1.016,1;1.027,34;7.162.707.456
2015-04-29;1.061,55;1.064,9;1.024,71;1.026,25;7.148.433.920
2015-04-28;1.076,07;1.079;1.053,43;1.059,09;5.818.101.248
2015-04-27;1.061,49;1.078,92;1.052,49;1.078,76;5.957.510.144
2015-04-24;1.055,36;1.064,24;1.051,12;1.058,85;5.086.194.176
2015-04-23;1.066,06;1.070,24;1.048,25;1.052,01;5.822.835.200
2015-04-22;1.074,83;1.079,38;1.057,79;1.064,46;5.004.703.744
2015-04-21;1.072,08;1.082,11;1.068,24;1.071,35;4.979.496.960
2015-04-20;1.051,33;1.067,31;1.051,33;1.066,44;4.374.329.856
2015-04-17;1.073,33;1.077,8;1.048,43;1.049,53;7.699.320.320
2015-04-16;1.095,24;1.095,24;1.075,97;1.076,06;5.512.696.832
2015-04-15;1.095,02;1.103,16;1.094,39;1.095,55;4.134.574.336
2015-04-14;1.102,82;1.104,54;1.091,49;1.095,22;4.186.765.824
2015-04-13;1.106,15;1.107,28;1.102,29;1.104,09;3.797.415.680
2015-04-10;1.094,16;1.107,91;1.093,69;1.107,09;4.996.632.576
2015-04-09;1.081,23;1.089,23;1.079,3;1.089,23;3.756.168.704
2015-04-08;1.082,16;1.083,11;1.075,44;1.077,15;4.152.034.560
2015-04-07;1.074,12;1.084,81;1.073,21;1.083,19;4.779.942.912
2015-04-02;1.070,82;1.073,9;1.068,34;1.070;3.832.584.192
2015-04-01;1.063,68;1.081,19;1.061,67;1.072,27;5.036.677.922
2015-03-31;1.076,29;1.082,03;1.066,79;1.068,54;5.461.673.984
2015-03-30;1.063,93;1.078,99;1.063,93;1.078,78;4.475.861.504
2015-03-27;1.061,93;1.067,22;1.054,4;1.060,38;5.275.578.880
2015-03-26;1.057,7;1.057,86;1.038,78;1.057,71;6.834.741.248
2015-03-25;1.072,2;1.075;1.060,91;1.061,45;4.739.919.872
2015-03-24;1.057,45;1.074,75;1.055,18;1.072,88;5.274.928.128
2015-03-23;1.072,73;1.072,73;1.060,59;1.063,42;4.972.835.840
2015-03-20;1.068,66;1.079,95;1.067,69;1.076,06;8.928.217.088
2015-03-19;1.061,46;1.071,45;1.055,59;1.064,68;6.339.940.864
2015-03-18;1.072,05;1.072,53;1.055,23;1.064,93;6.688.321.536
2015-03-17;1.086,9;1.088,35;1.065,92;1.070,25;6.482.910.208
2015-03-16;1.067,93;1.090,88;1.067,93;1.086,76;6.136.861.184
2015-03-13;1.060,44;1.064,95;1.052,46;1.064,94;4.945.784.832
2015-03-12;1.056,17;1.058,12;1.051,97;1.056,15;5.557.278.208
2015-03-11;1.032,21;1.057,45;1.032,21;1.056,24;5.866.228.736
2015-03-10;1.034,9;1.036,46;1.022,47;1.030,13;4.879.415.296
2015-03-09;1.031,39;1.036,48;1.026,01;1.036,4;4.005.562.368
2015-03-06;1.031,06;1.038,15;1.030,18;1.034,23;4.456.105.984
2015-03-05;1.023,26;1.032,15;1.022,55;1.030,07;4.827.594.752
2015-03-04;1.015,42;1.020,11;1.004,07;1.020,11;4.763.137.024
2015-03-03;1.024,78;1.028,41;1.012,06;1.012,07;4.679.910.400
2015-03-02;1.023,19;1.027,55;1.019,81;1.023,63;4.611.165.184
2015-02-27;1.017,62;1.022,6;1.014,51;1.022,6;5.706.182.656
2015-02-26;1.008,72;1.017,05;1.005,1;1.016,89;4.802.228.224
2015-02-25;1.007,13;1.008,68;1.003,93;1.006,75;4.168.933.120
2015-02-24;1.000,96;1.008,58;998,19;1.006,94;4.174.116.864
2015-02-23;999,71;1.002,4;995,92;1.001,43;4.051.693.312
2015-02-20;988,49;995,70;985,53;993,59;6.857.314.816
2015-02-19;983,64;991,04;978,81;989,98;4.602.287.616
2015-02-18;981,47;986,96;980,93;985,70;3.695.399.936
2015-02-17;976,68;980,45;968,07;978,72;3.930.081.792
2015-02-16;982,90;984,25;980,03;981,22;2.957.780.736
2015-02-13;983,92;988,17;983,15;984,56;4.795.405.312
2015-02-12;966,42;983,35;965,33;981,18;5.314.275.840
2015-02-11;966,98;969,03;961,57;965,64;3.448.107.008
2015-02-10;958,60;968,74;952,57;966,06;4.829.077.504
2015-02-09;967,53;968,44;953,63;957,76;5.333.045.760
2015-02-06;977,11;977,11;970,63;974,13;3.997.735.168
2015-02-05;973,29;980,43;971,65;979,33;4.619.975.680
2015-02-04;976,50;978,66;969,03;978,66;4.793.985.024
2015-02-03;972,66;982,75;972,38;975,76;6.108.145.152
2015-02-02;961,64;969,78;958,37;969,78;4.810.542.592
2015-01-30;966,82;967,72;955,59;959,20;5.740.185.600
2015-01-29;956,78;962,98;951,78;962,48;4.628.390.400
2015-01-28;959,07;961,11;947,86;960,80;5.337.933.312
2015-01-27;968,48;969,35;950,49;953,28;5.966.437.888
2015-01-26;951,02;968,64;950,27;968,24;5.280.939.008
2015-01-23;940,86;959,24;940,73;955,36;8.350.303.744
2015-01-22;924,28;937,59;919,82;936,56;7.176.798.208
2015-01-21;921,35;924,49;911,92;924,25;5.463.421.440
2015-01-20;922,09;923,89;917,35;920,74;5.051.874.304
2015-01-19;916,02;922,71;914,37;919,07;4.041.592.832
2015-01-16;897,27;914,90;894,02;912,13;6.318.496.768
2015-01-15;887,55;903,28;874,09;901,20;6.698.842.624
2015-01-14;890,03;894,75;879,93;882,90;4.913.453.056
2015-01-13;878,37;896,06;878,26;893,44;5.066.052.096
2015-01-12;871,76;883,07;867,55;880,14;4.425.470.976
2015-01-09;881,26;886,06;865,82;869,52;4.836.065.280
2015-01-08;859,38;884,89;859,23;883,69;5.010.650.112
2015-01-07;855,62;863,09;852,38;856,83;3.645.844.736
2015-01-06;855,21;865,11;845,78;852,62;4.202.661.376
2015-01-05;874,17;879,04;852,69;853,07;4.639.431.680
2015-01-02;884,12;884,82;870,84;876,68;2.939.764.224
2014-12-30;885,38;885,61;879,54;879,54;1.594.021.376
2014-12-29;888,49;889,11;877,90;889,10;2.215.182.336
2014-12-23;885,23;888,87;882,69;888,86;2.333.872.384
2014-12-22;880,45;888,08;880,45;883,79;3.001.266.176
2014-12-19;881,39;885,30;869,01;876,79;7.985.776.128
2014-12-18;855,95;878,29;855,89;878,28;5.599.177.728
2014-12-17;854,17;858,66;845,70;855,37;4.603.568.640
2014-12-16;840,66;856,46;828,30;856,44;7.460.299.776
2014-12-15;860,33;866,47;837,98;837,99;4.989.345.792
2014-12-12;876,71;876,71;859,06;859,56;4.340.222.976
2014-12-11;874,50;884,86;873,13;881,55;4.503.937.024
2014-12-10;879,05;885,51;874,95;876,49;3.785.920.000
2014-12-09;892,56;892,75;875,93;876,28;4.779.583.488
2014-12-08;898,83;900,36;894,94;894,94;2.883.725.312
2014-12-05;887,92;901,34;887,70;900,98;4.170.370.048
2014-12-04;893,61;897,42;880,33;881,57;5.158.497.792
2014-12-03;891,42;893,13;887,58;891,59;3.775.226.112
2014-12-02;891,59;895,45;885,48;887,47;3.788.859.392
2014-12-01;886,45;890,96;885,20;889,93;3.780.482.048
2014-11-28;891,68;892,12;885,09;891,60;4.241.246.208
2014-11-27;887,90;892,10;886,65;891,18;3.276.595.712
2014-11-26;883,52;888,50;882,32;886,29;3.688.400.128
2014-11-25;876,69;886,65;876,49;882,11;5.713.985.024
2014-11-24;870,79;879,41;869,47;876,24;4.345.459.200
2014-11-21;852,64;871,33;852,60;871,08;7.293.856.256
2014-11-20;849,35;850,69;842,23;850,67;3.428.226.048
2014-11-19;847,76;852,85;846,20;849,34;3.133.182.208
2014-11-18;836,65;847,76;836,37;847,52;3.541.614.336
2014-11-17;826,39;836,58;822,64;834,84;3.136.677.376
2014-11-14;831,22;833,05;824,84;830,07;3.532.036.096
2014-11-13;830,48;834,93;823,64;829,56;3.496.303.104
2014-11-12;837,29;838,80;824,85;826,42;3.907.141.376
2014-11-11;838,41;841,96;836,15;839,42;3.431.992.064
2014-11-10;829,67;837,93;827,55;837,93;3.148.868.864
2014-11-07;839,92;842,22;828,17;832,25;4.883.199.488
2014-11-06;831,01;845,41;829,75;838,86;5.352.579.072
2014-11-05;827,63;834,57;826,72;833,83;3.850.960.896
2014-11-04;828,52;833,75;820,03;821,49;4.197.711.360
2014-11-03;832,78;835,79;827,56;828,77;3.430.812.160
2014-10-31;816,66;834,74;816,57;833,99;5.131.220.480
2014-10-30;814,81;818,50;798,58;816,23;4.823.604.224
2014-10-29;815,32;818,41;812,04;812,79;3.515.732.480
2014-10-28;802,85;811,43;802,46;810,62;3.190.468.864
2014-10-27;808,65;812,31;792,00;797,14;4.047.754.240
2014-10-24;806,98;809,71;802,23;804,65;3.902.299.136
2014-10-23;797,04;811,39;791,21;809,77;4.263.293.440
2014-10-22;798,71;801,99;794,19;801,23;4.102.838.528
2014-10-21;778,49;795,51;774,67;795,42;4.784.246.784
2014-10-20;790,73;790,73;777,42;780,26;4.308.364.288
2014-10-17;771,19;791,29;768,42;791,28;7.581.159.424
2014-10-16;770,70;774,27;748,41;767,06;8.525.011.456
2014-10-15;788,03;790,25;765,80;766,35;5.926.661.632
2014-10-14;781,70;789,67;776,77;787,43;4.890.048.512
2014-10-13;778,94;791,24;777,07;785,76;4.392.668.672
2014-10-10;798,76;798,76;783,10;784,47;6.517.853.184
2014-10-09;804,88;815,03;800,99;802,89;4.623.954.944
2014-10-08;807,87;808,60;800,25;802,88;4.925.361.664
2014-10-07;818,78;818,78;810,98;811,17;4.658.022.912
2014-10-06;821,17;832,90;820,64;822,16;4.739.943.936
2014-10-02;835,12;837,99;820,39;820,42;5.311.701.504
2014-10-01;842,01;848,43;835,10;836,49;3.912.451.584
2014-09-30;842,16;846,08;839,08;844,57;4.062.970.368
2014-09-29;846,04;846,83;835,99;840,21;3.481.253.888
2014-09-26;845,97;849,36;841,95;845,45;4.664.084.480
2014-09-25;857,85;863,69;844,93;846,93;4.365.512.704
2014-09-24;854,29;859,15;848,99;858,81;3.843.348.224
2014-09-23;865,67;865,77;853,56;853,95;4.156.013.312
2014-09-22;867,69;872,50;866,74;867,47;3.403.558.400
2014-09-19;874,75;879,24;871,47;871,48;7.963.807.232
2014-09-18;860,33;871,40;860,23;871,39;4.059.860.736
2014-09-17;860,69;862,95;859,92;860,63;3.083.354.624
2014-09-16;859,59;859,59;854,31;857,71;2.974.013.184
2014-09-15;857,07;862,80;856,88;860,81;2.627.408.384
2014-09-12;864,65;864,66;858,03;860,65;2.401.151.744
2014-09-11;866,74;867,04;858,88;863,38;2.881.527.808
2014-09-10;863,47;866,09;859,27;864,08;2.870.457.088
2014-09-09;868,50;870,58;864,65;865,86;2.702.695.424
2014-09-08;870,44;871,08;867,07;869,96;2.398.306.048
2014-09-05;866,44;871,34;865,10;869,07;3.571.734.016
2014-09-04;856,78;868,15;852,62;867,45;4.679.503.360
2014-09-03;852,61;863,80;851,65;859,52;4.149.761.280
2014-09-02;850,34;855,45;848,08;849,68;2.428.359.424
2014-09-01;847,59;848,62;843,20;847,18;1.881.652.352
2014-08-29;847,88;850,40;838,46;846,53;3.184.976.128
2014-08-28;853,42;853,79;843,11;846,23;3.175.772.672
2014-08-27;856,57;857,98;854,02;855,67;2.713.637.376
2014-08-26;848,77;857,02;845,59;856,73;2.869.243.904
2014-08-25;838,71;850,61;838,57;850,61;2.347.532.032
2014-08-22;840,77;842,62;833,61;836,73;2.932.552.448
2014-08-21;834,39;841,45;831,51;841,45;2.865.698.048
2014-08-20;834,41;835,74;828,88;833,96;2.675.519.744
2014-08-19;830,60;836,73;830,07;835,90;2.706.744.832
2014-08-18;816,50;828,94;816,50;827,94;2.780.454.656
2014-08-15;826,16;833,67;813,40;815,10;4.614.227.456
2014-08-14;819,90;828,45;819,56;825,76;3.190.068.736
2014-08-13;815,69;823,93;815,69;822,95;3.240.381.184
