arivaID,country,exchangeID,file_urls,files,foundingyear,industry,isin,listingdate,sector,security_name,stocktype,ticker
137374469,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=137374469&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=137374469&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_DE000KBX1006.csv', 'checksum': 'a05ca6ae282bcb788815d5da76484257'}]",1905,Sonstige Kraftfahrzeugindustrie,DE000KBX1006,-,Kraftfahrzeugindustrie,knorr-bremse-aktie,Inlandsaktie,KBX
136149299,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=136149299&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=136149299&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_DE000A2LQUA5.csv', 'checksum': '11571a0714367c05be5a9e4a52b8b16c'}]",2014,Finanzdienstleistungen,DE000A2LQUA5,25.07.2018,Finanzsektor,creditshelf-aktie,Inlandsaktie,CSQ
130509101,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=130509101&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=130509101&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_DE000A0WMNK9.csv', 'checksum': '26ec0109fca5657dea4ebee7e3f7699f'}]",0,Restaurants und Foodvertrieb,DE000A0WMNK9,-,Konsumgüter,vapiano-aktie,Inlandsaktie,VAO
135263457,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=135263457&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=135263457&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_DE000A1TNU68.csv', 'checksum': 'e6af4dfb5e039b6d758649d787aed2d7'}]",0,Automobilzulieferer,DE000A1TNU68,01.06.2018,Kraftfahrzeugindustrie,sts_group-aktie,Inlandsaktie,SF3
123369341,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=123369341&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=123369341&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_DE000A168114.csv', 'checksum': 'bfa004e27334f5c10ea070cf2b28ae81'}]",0,Immobilien,DE000A168114,-,Diverse,aves_one-aktie,Inlandsaktie,AVES
100076810,Deutschland,0,http://www.ariva.de/quote/historic/historic.csv?secu=100076810&boerse_id=0&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=100076810&boerse_id=0&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_DE000A2TSL22.csv', 'checksum': '358f09c45469c76d6a25a1ed069c0aa3'}]",0,Sonstige Branchen,DE000A2TSL22,-,Diverse,oti_greentech-aktie,Inlandsaktie,NSAK
100391820,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=100391820&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=100391820&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_DE0005493365.csv', 'checksum': '7c38e0ec937599050eb19f6d8178b96c'}]",1999,Finanzdienstleistungen,DE0005493365,29.10.2007,Finanzsektor,hypoport-aktie,Inlandsaktie,HYQ
34,Schweiz,123,http://www.ariva.de/quote/historic/historic.csv?secu=34&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=34&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_CH0038389992.csv', 'checksum': '626c9b846420b8b142659298d9a275fe'}]",1993,Beteiligungen,CH0038389992,10.12.1997,Finanzsektor,bb_biotech-aktie,Auslandsaktie,BBZA
944822,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=944822&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=944822&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_DE000KC01000.csv', 'checksum': 'ce273b8b2b1f0f7d013118ef637b6a6f'}]",1906,Eisen/Stahlindustrie,DE000KC01000,28.06.2006,Industrie,kl%C3%B6ckner-aktie,Inlandsaktie,KCO
136923302,China,131,http://www.ariva.de/quote/historic/historic.csv?secu=136923302&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=136923302&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-05-06&trenner=%3B&go=Download', 'path': 'isin_CNE1000031C1.csv', 'checksum': 'cec6334778e869d7ab55ec94851b4520'}]",0,Elektroausstattung und Vertrieb,CNE1000031C1,24.10.2018,Technologie,qingdao_haier-aktie,Auslandsaktie,690D
