arivaID,country,exchangeID,file_urls,files,foundingyear,industry,isin,listingdate,sector,security_name,stocktype,ticker
2285,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=2285&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=2285&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE0007507501.csv', 'checksum': 'd69726f27e829879ba515d6b9e3dd90e'}]",1999,Sonstige Kraftfahrzeugindustrie,DE0007507501,12.11.1997,Kraftfahrzeugindustrie,washtec-aktie,Inlandsaktie,WSU
2465,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=2465&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=2465&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A1TNUT7.csv', 'checksum': '5294dffb0f1c6dfc9b18122c8a4e82d2'}]",1965,Holdings,DE000A1TNUT7,19.12.1085,Diverse,deutsche_beteiligungs_ag-aktie,Inlandsaktie,DBAN
117618219,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=117618219&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=117618219&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A12B8Z4.csv', 'checksum': 'ce7b32b2cc3325b51c7cae69a47537b6'}]",0,Immobilien,DE000A12B8Z4,24.10.2014,Diverse,tlg_immobilien-aktie,Inlandsaktie,TLG
100156578,Schweiz,123,http://www.ariva.de/quote/historic/historic.csv?secu=100156578&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=100156578&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_CH0038285679.csv', 'checksum': '0cc03e77ec9e656cc5105aec9a9acc19'}]",,Touristik und Freizeit,CH0038285679,-,Medien/Entertainment/Freizeit,orascom_development_holding-aktie,Auslandsaktie,4O7
104873768,,131,http://www.ariva.de/quote/historic/historic.csv?secu=104873768&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=104873768&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_MT0000580101.csv', 'checksum': '2365a57fad49e7d7bb868df6e0e38bdd'}]",,,MT0000580101,,,blockescence-aktie,,
2126,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=2126&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=2126&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE0005790430.csv', 'checksum': '2fb08a28f796e9e1548346ea0ba510a0'}]",1931,Chemie,DE0005790430,25.07.1986,Chemie/Pharma,fuchs_petrolub_vz-aktie,Inlandsaktie,FPE3
293,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=293&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=293&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000BASF111.csv', 'checksum': '7a3658d3508a3f52daa0d91225bebe40'}]",1865,Chemie,DE000BASF111,30.01.1952,Chemie/Pharma,basf-aktie,Inlandsaktie,BAS
34983,Schweiz,123,http://www.ariva.de/quote/historic/historic.csv?secu=34983&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=34983&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_CH0006089921.csv', 'checksum': '4dffe2ce70acd31e60bbaa39cf7aac20'}]",0,Beteiligungen,CH0006089921,18.01.1999,Finanzsektor,private_equity_holding-aktie,Auslandsaktie,PEQ
301,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=301&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=301&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE0005140008.csv', 'checksum': 'd537e294032f8f853df2e5a0f36a82b8'}]",1870,Banken,DE0005140008,30.05.1870,Finanzsektor,deutsche_bank-aktie,Inlandsaktie,DBK
852262,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=852262&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=852262&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A2GS609.csv', 'checksum': 'f861f58872d2533d0d3e615ffa4bac4e'}]",1998,Internetservice,DE000A2GS609,23.02.2006,Informationstechnologie,wallstreet_online-aktie,Inlandsaktie,WSO1
